EnrollmentID,StudentID,CourseCode,EnrollmentDate,Semester,Grade,Status
E001,S001,CS101,2023-08-20,FALL,A,ENROLLED
E002,S001,MATH201,2023-08-20,FALL,B,ENROLLED
E003,S002,MATH201,2023-08-20,FALL,A,ENROLLED
E004,S002,CS101,2023-08-20,FALL,A,ENROLLED
E005,S003,PHY101,2023-08-21,FALL,B,ENROLLED
E006,S003,MATH201,2023-08-21,FALL,C,ENROLLED
E007,S004,ENG201,2023-08-22,FALL,A,ENROLLED
E008,S004,CS101,2023-08-22,FALL,B,ENROLLED
E009,S005,CHEM101,2023-08-23,FALL,B,ENROLLED
E010,S006,BIO101,2023-08-23,FALL,A,ENROLLED
